TECH,YEAR,CAPEX_($/MW),FOPEX_($/MW),VOPEX_($/MWh),,,,,,,,,,,
Coal,2021,0,31750,4.35,,,,,,,,,,,
Coal,2022,0,31750,4.35,,,,,,,,,,,
Coal,2023,0,31750,4.35,,,,,,,,,,,
Coal,2024,0,31750,4.35,,,,,,,,,,,
Coal,2025,0,31750,4.35,,,,,,,,,,,
Coal,2026,0,31750,4.35,,,,,,,,,,,
Coal,2027,0,31750,4.35,,,,,,,,,,,
Coal,2028,0,31750,4.35,,,,,,,,,,,
Coal,2029,0,31750,4.35,,,,,,,,,,,
Coal,2030,0,31750,4.35,,,,,,,,,,,
Wind,2021,1347636.364,42263.63636,0,,,,,,,,,,,
Wind,2022,1303454.545,41895.45455,0,,,,,,,,,,,
Wind,2023,1259272.727,41527.27273,0,,,,,,,,,,,
Wind,2024,1215090.909,41159.09091,0,,,,,,,,,,,
Wind,2025,1170909.091,40790.90909,0,,,,,,,,,,,
Wind,2026,1126727.273,40422.72727,0,,,,,,,,,,,
Wind,2027,1082545.455,40054.54545,0,,,,,,,,,,,
Wind,2028,1038363.636,39686.36364,0,,,,,,,,,,,
Wind,2029,994181.8182,39318.18182,0,,,,,,,,,,,
Wind,2030,950000,38950,0,,,,,,,,,,,
Solar,2021,1316477.166,22710.37865,0,,,,,,,,,,,
Solar,2022,1256414.215,22026.96337,0,,,,,,,,,,,
Solar,2023,1196351.265,21346.03917,0,,,,,,,,,,,
Solar,2024,1136288.315,20667.49775,0,,,,,,,,,,,
Solar,2025,1076225.365,19991.237,0,,,,,,,,,,,
Solar,2026,1016162.414,19317.16053,0,,,,,,,,,,,
Solar,2027,956099.4639,18645.17735,0,,,,,,,,,,,
Solar,2028,896036.5136,17975.20142,0,,,,,,,,,,,
Solar,2029,835973.5633,17307.15138,0,,,,,,,,,,,
Solar,2030,775910.6129,16640.95018,0,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
